3.00000000e+01	5.79636681e+00
6.00000000e+01	5.78888139e+00
9.00000000e+01	5.79724208e+00
1.20000000e+02	5.79989524e+00
1.50000000e+02	5.79920032e+00
1.80000000e+02	5.79704826e+00
2.10000000e+02	5.80025815e+00
2.40000000e+02	5.80048419e+00
2.70000000e+02	5.79803565e+00
3.00000000e+02	5.78828614e+00
3.30000000e+02	5.79991079e+00
3.60000000e+02	5.79991954e+00
3.90000000e+02	5.79992832e+00
4.20000000e+02	5.79993718e+00
4.50000000e+02	5.79994614e+00
4.80000000e+02	5.79995512e+00
5.10000000e+02	5.79996424e+00
5.40000000e+02	5.79997334e+00
5.70000000e+02	5.79998255e+00
6.00000000e+02	5.79999180e+00
6.30000000e+02	5.79904609e+00
6.60000000e+02	5.79905525e+00
6.90000000e+02	5.79906446e+00
7.20000000e+02	5.79907374e+00
7.50000000e+02	5.79908302e+00
7.80000000e+02	5.79909236e+00
8.10000000e+02	5.79910177e+00
8.40000000e+02	5.79911118e+00
8.70000000e+02	5.79912066e+00
9.00000000e+02	5.79913017e+00
9.30000000e+02	5.79913017e+00
