0.0000000000e+00	-nan(ind)
3.0000000000e+01	-nan(ind)
6.0000000000e+01	-nan(ind)
9.0000000000e+01	-nan(ind)
1.2000000000e+02	-nan(ind)
1.5000000000e+02	-nan(ind)
1.8000000000e+02	-nan(ind)
2.1000000000e+02	-nan(ind)
2.4000000000e+02	-nan(ind)
2.7000000000e+02	-nan(ind)
3.0000000000e+02	-nan(ind)
3.3000000000e+02	-nan(ind)
3.6000000000e+02	-nan(ind)
3.9000000000e+02	-nan(ind)
4.2000000000e+02	-nan(ind)
4.5000000000e+02	-nan(ind)
4.8000000000e+02	-nan(ind)
5.1000000000e+02	-nan(ind)
5.4000000000e+02	-nan(ind)
5.7000000000e+02	-nan(ind)
6.0000000000e+02	-nan(ind)
6.3000000000e+02	-nan(ind)
6.6000000000e+02	-nan(ind)
6.9000000000e+02	-nan(ind)
7.2000000000e+02	-nan(ind)
7.5000000000e+02	-nan(ind)
7.8000000000e+02	-nan(ind)
8.1000000000e+02	-nan(ind)
8.4000000000e+02	-nan(ind)
8.7000000000e+02	-nan(ind)
9.0000000000e+02	0.0000000000e+00
